trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,type,capabilities,userfound,device,mfgrId,name,country,region,road,city,housenumber,postalcode
51.16623688,16.1761322,,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-13T06:00:00.000Z,2024-08-13T06:00:00.000Z,00:03:19:25:09:66,BT,"['Handsfree', '10']",False,0,,,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.20472717,16.194767,,0,20240814-00000,2024-08-13T18:00:00.000Z,2024-08-14T02:00:00.000Z,2024-08-14T02:00:00.000Z,00:0b:6b:71:d5:88,BT,"['Laptop', '10']",False,0,,,PL,województwo dolnośląskie,Wielkiej Niedźwiedzicy,Legnica,20,59-220
51.1963501,16.20175934,,0,20240813-00000,2024-08-13T14:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-13T10:00:00.000Z,00:0e:9f:14:11:95,BT,"['Handsfree', '10']",False,0,,,PL,województwo dolnośląskie,Koskowicka,Legnica,,59-220
51.19894028,16.19928932,,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-13T06:00:00.000Z,2024-08-13T06:00:00.000Z,00:12:1c:5a:0f:38,BT,"['Handsfree', '10']",False,0,,,PL,województwo dolnośląskie,Bieszczadzka,Legnica,45,59-220
51.20330048,16.19378662,,0,20240814-00000,2024-08-13T18:00:00.000Z,2024-08-14T02:00:00.000Z,2024-08-14T02:00:00.000Z,00:12:1c:5d:8f:49,BT,"['Handsfree', '10']",False,0,,,PL,województwo dolnośląskie,Aleja Marszałka Józefa Piłsudskiego,Legnica,,59-220
51.20735168,16.19086838,,0,20240813-00000,2024-08-13T13:00:00.000Z,2024-08-13T06:00:00.000Z,2024-08-13T06:00:00.000Z,00:17:fc:8b:93:20,BLE,['Misc'],False,0,,,PL,województwo dolnośląskie,Plutona,Legnica,,59-220
51.20898438,16.19219398,FMBxx_1452598,0,20240813-00000,2024-08-13T14:00:00.000Z,2024-08-14T02:00:00.000Z,2024-08-14T02:00:00.000Z,00:1e:42:94:27:68,BT,"['null', '10']",False,0,,FMBxx_1452598,PL,województwo dolnośląskie,Planetarna,Legnica,4,59-220
51.208992,16.19330978,FMB140_1836577,0,20240813-00000,2024-08-13T17:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-13T10:00:00.000Z,00:1e:42:da:3a:f8,BT,"['null', '10']",False,0,,FMB140_1836577,PL,województwo dolnośląskie,Planetarna,Legnica,10,59-220
51.16484833,16.17572594,FMB920_5831915,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-13T06:00:00.000Z,2024-08-13T06:00:00.000Z,00:1e:42:fa:63:52,BT,"['null', '10']",False,0,,FMB920_5831915,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.19815063,16.19973564,,0,20240813-00000,2024-08-13T14:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-13T10:00:00.000Z,00:1e:a4:fc:97:cf,BT,"['Handsfree', '10']",False,0,,,PL,województwo dolnośląskie,Koskowicka,Legnica,,59-220
51.18742752,16.20612335,D1702979,0,20240814-00000,2024-08-14T12:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,00:1e:c0:35:81:a0,BLE,['Uncategorized'],False,0,,D1702979,PL,województwo dolnośląskie,,,,59-220
51.20760727,16.19155502,,0,20240813-00000,2024-08-13T13:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-13T10:00:00.000Z,00:24:b9:d2:91:56,BLE,['Misc'],False,0,6.0,,PL,województwo dolnośląskie,Oś Kartuska,Legnica,,59-220
51.2075119,16.19122887,realme GT Master Edition,0,20240813-00000,2024-08-13T13:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-13T10:00:00.000Z,00:27:29:78:08:48,BT,"['null', '10']",False,0,,realme GT Master Edition,PL,województwo dolnośląskie,,Legnica,,59-220
51.20944214,16.19117737,DMX120BT,0,20240814-00000,2024-08-13T18:00:00.000Z,2024-08-14T02:00:00.000Z,2024-08-14T02:00:00.000Z,00:58:75:c2:80:0f,BT,"['Handsfree', '10']",False,0,,DMX120BT,PL,województwo dolnośląskie,Wrocławska,Legnica,183,59-220
51.20195007,16.20064545,,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-13T06:00:00.000Z,2024-08-13T06:00:00.000Z,00:5d:39:68:80:4e,BLE,['Misc'],False,0,,,PL,województwo dolnośląskie,Aleja Marszałka Józefa Piłsudskiego,Legnica,,59-220
